Bairro,Área (km²),Densidade Demográfica (hab/hectare),Número de domicílios,Média morador,Renda Mediana,Mortes Violentas Intencionais
Acarape,"0,44","68,6",806,"3,74",3510,Baixa
Aeroporto,"2,35","32,2",2078,"3,64",1908,Baixa
Água Mineral,1,"121,06",3083,"3,93",1000,Baixa
Alto Alegre,"0,86","62,7",1342,"4,02",1105,Baixa
Aroeiras,6,"7,62",1341,"3,4",700,Alta
Bom Jesus,"0,334","107,9",945,"3,8",1238,Baixa
Buenos Aires,"1,34","54,5",1900,"3,8",1200,Baixa
Cabral,"0,77",42,878,"3,7",2040,Baixa
Centro,"3,76","32,4",3785,"3,9",3000,Baixa
Embrapa,"4,1","2,5",244,"4,1",1153,Baixa
Frei Serafim,"0,47","54,5",742,"3,45",8000,Baixa
Ilhotas,"1,1","63,2",1950,"3,57",1778,Baixa
Itaperu,"0,306",7,571,"3,8",1820,Baixa
Mafrense,"0,73","88,9",1607,"4,04",1020,Baixa
Mafuá,"0,4","71,5",831,"3,4",2040,Baixa
Marquês,"0,68","56,8",1071,"3,61",2550,Baixa
Matadouro,"0,76","72,7",1466,"3,77",1020,Alta
Matinha,"0,465","67,3",860,"3,7",1530,Baixa
Memorare,"0,64","88,5",1467,"3,86",1300,Baixa
Mocambinho,"3,27","86,8",7614,"3,73",1600,Baixa
Morro da Esperança,"0,324","103,2",843,4,1020,Baixa
Nova Brasília,"0,72","94,2",1761,"3,85",900,Média
Olarias,"1,01","15,5",376,"4,2",622,Baixa
Parque Alvorada,"0,53","101,6",1382,"3,9",1020,Baixo
Piçarra,"0,65","56,3",995,"3,68",1900,Baixa
Pirajá,"0,78","37,2",865,"3,35",1663,Baixa
PorEnquanto,"0,48","47,6",634,"3,6",1530,Baixa
Poti Velho,"0,37","100,8",930,"4,01",1020,Baixa
Primavera,"1,41","64,5",2487,"3,6",1530,Média
Real Copagre,"0,78","74,4",1571,"3,69",1200,Baixa
São Joaquim,"1,15","91,8",2648,"3,99",1020,Baixa
Vila Operária,"0,39","81,4",878,"3,6",2282,Baixa
Vila São Francisco,"0,39","139,8",1387,"3,93",1020,Baixa
Campestre,"0,726","60,9",1278,"3,5",1600,Média
Fátima,"2,6","32,1",2252,"3,7",6000,Baixa
Horto,"1,45","40,6",1699,"3,5",5510,Baixa
Ininga,"4,67","17,34",2214,"3,7",6000,Baixa
Jóquei,"1,42",42,1764,"2,6",10000,Baixa
Morada do Sol,"1,2","45,8",1625,"3,4",5000,Baixa
Morros,"2,674","4,4",332,"3,5",1132,Baixa
Noivos,"1,42","38,7",1039,"3,6",3980,Baixa
Novo Uruguai,"1,88","2,2",112,"3,7",910,Baixa
Piçarreira,"1,13","65,3",2049,"3,6",1220,Baixa
Planalto,"1,28","43,3",1385,4,1650,Média
Porto do Centro,2,34,1803,"3,8",1020,Baixa
Recanto das Palmeiras,"1,227",8,237,"4,2",4000,Baixa
Samapi,"1,33",81,2949,,800,Baixa
Santa Isabel,"1,78","37,5",1979,"3,4",4000,Baixa
Santa Lia,"0,612","34,2",557,"3,8",1160,Baixa
São Cristóvão,"1,85","35,6",1886,"3,5",6005,Baixa
São João,"2,42","34,5",2216,"3,8",2115,Baixa
Satélite,"1,59",73,2959,"3,9",1020,Baixa
Socopo,"3,93","4,81",486,"3,9",1020,Baixa
Uruguai,"3,222","14,8",1416,"3,4",1261,Baixa
Vale do Gavião,"2,23","6,75",555,"2,7",1220,Baixa
Vale Quem Tem,3,67,5475,"3,7",1140,Baixa
Verde Lar,"1,71","64,9",2947,"3,8",644,Baixa
Zoobotânico,"4,89","0,6",69,"4,6",2720,Baixa
Beira Rio,"0,66","43,8",742,"3,9",700,Baixa
Bom Princípio,"2,11","12,6",796,"3,3",970,Baixa
Colorado,"0,89","79,3",1981,"3,6",1000,Baixa
