Área;Quartos;Banheiros;Endereço;Vagas de Garagem;Condomínio;IPTU;Preço de Venda
50;2;1;Apartamento para Venda, Teresina / PI, bairro Itararé, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 50,00 m²;1;190;None;180000;
67;3;1;Apartamento para Venda, bairro Aeroporto, 3 dormitórios, 1 suíte, 1 banheiro, 1 vaga de garagem, área total 67,00 m²;1;200;None;330000;
78;2;2;Apartamento para Venda, Teresina / PI, bairro Ininga, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 78,00 m²;1;297;None;180000;
66;3;1;Apartamento para Venda, Teresina / PI, bairro GURUPI, 3 dormitórios, 1 suíte, 1 banheiro, 1 vaga de garagem, área total 66,75 m²;1;230;None;262000;
78;3;2;Apartamento para Venda, Teresina / PI, bairro Ininga, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 78,00 m²;1;280;None;215000;
74;3;3;Apartamento para Venda, Teresina / PI, bairro SÃO JOÃO, 3 dormitórios, 3 suítes, 3 banheiros, 2 vagas de garagem, mobiliado, área total 74,00 m², área útil 74,00 m²;2;None;None;320000;
50;2;None;Apartamento para Venda, Teresina / PI, bairro Santo Antônio, 2 dormitórios, 1 vaga de garagem, área total 50,00 m²;1;182;None;163000;
49;2;1;Apartamento para Venda, Teresina / PI, bairro GURUPI, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 49,00 m²;1;170;None;180000;
74;3;2;Apartamento para Venda, Teresina / PI, bairro Santa Isabel, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 74,00 m², área útil 74,00 m²;2;None;None;299500;
59;2;2;Apartamento para Venda, Teresina / PI, bairro Recanto das Palmeiras, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 59,01 m², área útil 59,01 m²;1;None;None;275000;
79;3;1;Apartamento para Venda, bairro Ininga, 3 dormitórios, 1 suíte, 1 banheiro, 1 vaga de garagem, área total 79,00 m²;1;300;None;190000;
50;2;1;Apartamento para Venda, Teresina / PI, bairro Santo Antônio, 2 dormitórios, 1 banheiro, área total 50,00 m²;None;175;None;175000;
73;3;2;Apartamento para Venda, Teresina / PI, bairro Horto, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 73,00 m²;2;550;None;285000;
67;3;2;Apartamento para Venda, Teresina / PI, bairro São Cristóvão, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 67,00 m²;1;450;None;285000;
67;2;2;Apartamento para Venda, Teresina / PI, bairro Noivos, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, mobiliado, área útil 67,00 m²;1;None;None;300000;
65;3;2;Apartamento para Venda, Teresina / PI, bairro Cristo Rei, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 65,84 m²;2;250;None;300000;
70;3;2;Apartamento para Venda, Teresina / PI, bairro Ininga, 3 dormitórios, 1 suíte, 2 banheiros, área total 70,00 m²;None;270;None;177000;
70;3;2;Apartamento para Venda, bairro Cristo Rei, 3 dormitórios, 2 banheiros, 1 vaga de garagem, área total 70,00 m²;1;None;None;300000;
52;3;2;Apartamento para Venda, Teresina / PI, bairro Santa Luzia, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 52,77 m²;1;None;None;180000;
62;3;None;Apartamento para Venda, bairro ILHOTAS, 3 dormitórios, 1 suíte, área total 62,00 m²;None;None;None;289800;
61;3;2;Apartamento para Venda, Teresina / PI, bairro Novo Horizonte, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 61,00 m²;1;198;None;190000;
77;3;2;Apartamento para Venda, Teresina / PI, bairro Cristo Rei, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 77,00 m²;2;320;None;280000;
80;3;2;Apartamento para Venda, Teresina / PI, bairro Cristo Rei, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 80,00 m², área útil 80,00 m²;2;None;None;300000;
80;3;2;Apartamento para Venda, Teresina / PI, bairro Ininga, 3 dormitórios, 1 suíte, 2 banheiros, área total 80,00 m²;None;298;None;180000;
74;3;2;Apartamento para Venda, Teresina / PI, bairro Santa Isabel, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 74,86 m², área útil 74,86 m²;2;None;None;290000;
67;3;2;Apartamento para Venda, Teresina / PI, bairro Morada do Sol, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 67,00 m²;2;None;None;320000;
63;2;2;Apartamento para Venda, bairro Piçarreira, 2 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 63,00 m²;2;None;None;260000;
78;3;2;Apartamento para Venda, Teresina / PI, bairro Santa Isabel, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 78,00 m²;1;320;None;270000;
58;2;2;Apartamento para Venda, Teresina / PI, bairro Cristo Rei, 2 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 58,00 m²;1;170;None;270000;
70;3;1;Apartamento para Venda, Teresina / PI, bairro Noivos, 3 dormitórios, 1 suíte, 1 banheiro, 2 vagas de garagem, área total 70,00 m²;2;None;None;350000;
None;2;2;Apartamento para Venda, Teresina / PI, bairro Aeroporto, 2 dormitórios, 2 banheiros, 1 vaga de garagem;1;332;None;260000;
78;3;2;Apartamento para Venda, Teresina / PI, bairro Cristo Rei, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 78,00 m²;1;None;None;190000;
64;None;1;Apartamento para Venda, Teresina / PI, bairro Uruguai, 1 suíte, 1 banheiro, 1 vaga de garagem, área total 64,00 m²;1;250;None;270000;
62;3;2;Apartamento para Venda, Teresina / PI, bairro Parque Ideal, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 62,00 m², área útil 62,00 m²;1;190;None;190000;
75;3;2;Apartamento para Venda, Teresina / PI, bairro Santa Isabel, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 75,00 m², área construída 75,00 m², área útil 75,00 m²;2;230;None;380000;
77;3;3;Apartamento para Venda, Teresina / PI, bairro Santa Isabel, 3 dormitórios, 2 suítes, 3 banheiros, 1 vaga de garagem, mobiliado, área total 77,16 m², área construída 77,16 m², área útil 77,16 m²;1;346;None;260000;
77;2;2;Apartamento para Venda, Teresina / PI, bairro Campestre, 2 dormitórios, 2 suítes, 2 banheiros, 1 vaga de garagem, área total 77,00 m², área construída 77,00 m², área útil 77,00 m²;1;270;None;260000;
70;3;2;Apartamento para Venda, Teresina / PI, bairro JOQUEI, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 70,29 m², área útil 70,29 m²;1;None;None;383257;
78;3;2;Apartamento para Venda, Teresina / PI, bairro Ininga, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 78,00 m²;1;280;None;190000;
78;3;4;Apartamento para Venda, Teresina / PI, bairro Cristo Rei, 3 dormitórios, 3 suítes, 4 banheiros, 2 vagas de garagem, área total 78,59 m², área útil 78,59 m²;2;None;None;395000;
60;3;2;Apartamento para Venda, Teresina / PI, bairro Beira Rio, 3 dormitórios, 2 banheiros, área total 60,00 m², área útil 60,00 m²;None;None;None;140000;
64;3;2;Apartamento para Venda, Teresina / PI, bairro GURUPI, 3 dormitórios, 1 suíte, 2 banheiros, área total 64,00 m²;None;275;None;175000;
56;2;1;Apartamento para Venda, Timon / MA, bairro Santo Antônio, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 56,00 m²;1;220;None;190000;
76;2;1;Apartamento para Venda, bairro JOQUEI, 2 dormitórios, 1 suíte, 1 banheiro, 1 vaga de garagem, área total 76,00 m²;1;650;None;415000;
45;2;1;Apartamento para Venda, Teresina / PI, bairro Santa Maria da Codipi, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 45,00 m², área útil 45,00 m²;1;160;None;140000;
70;3;1;Apartamento para Venda, Teresina / PI, bairro Ininga, 3 dormitórios, 1 suíte, 1 banheiro, 2 vagas de garagem, área total 70,00 m²;2;None;None;270000;
100;3;2;Apartamento para Venda, bairro Fátima, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 100,00 m²;2;None;None;430000;
65;2;1;Apartamento para Venda, Teresina / PI, bairro Santa Luzia, 2 dormitórios, 1 banheiro, 1 vaga de garagem, área total 65,00 m², área útil 65,00 m²;1;None;None;145000;
61;3;2;Apartamento para Venda, Teresina / PI, bairro SÃO JOÃO, 3 dormitórios, 1 suíte, 2 banheiros, 1 vaga de garagem, área total 61,00 m²;1;250;None;270000;
129;3;2;Apartamento para Venda, Teresina / PI, bairro Noivos, 3 dormitórios, 1 suíte, 2 banheiros, 2 vagas de garagem, área total 129 m², área útil 129 m²;2;720;None;450000;
